GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,NAME_E,AL5ME001,AL5ME002,AL5ME003,AMEME001,NAME_M,AL5MM001,AL5MM002,AL5MM003,AMEMM001
"G2701350","2015-2019","MN",,,"Minnesota","27","Roseau County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27135",,"Roseau County, Minnesota",15361,14766,595,0.3970,"Roseau County, Minnesota",0,92,92,0.0218
"G2701370","2015-2019","MN",,,"Minnesota","27","St. Louis County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27137",,"St. Louis County, Minnesota",199759,194744,5015,0.4454,"St. Louis County, Minnesota",0,459,459,0.0070
"G2701390","2015-2019","MN",,,"Minnesota","27","Scott County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27139",,"Scott County, Minnesota",145275,131479,13796,0.4009,"Scott County, Minnesota",0,713,713,0.0101
"G2701410","2015-2019","MN",,,"Minnesota","27","Sherburne County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27141",,"Sherburne County, Minnesota",94463,91247,3216,0.3661,"Sherburne County, Minnesota",0,436,436,0.0128
"G2701430","2015-2019","MN",,,"Minnesota","27","Sibley County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27143",,"Sibley County, Minnesota",14892,14133,759,0.4089,"Sibley County, Minnesota",0,81,81,0.0173
"G2701450","2015-2019","MN",,,"Minnesota","27","Stearns County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27145",,"Stearns County, Minnesota",158452,147713,10739,0.4312,"Stearns County, Minnesota",0,1156,1156,0.0083
"G2701470","2015-2019","MN",,,"Minnesota","27","Steele County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27147",,"Steele County, Minnesota",36683,34887,1796,0.4088,"Steele County, Minnesota",0,251,251,0.0126
"G2701490","2015-2019","MN",,,"Minnesota","27","Stevens County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27149",,"Stevens County, Minnesota",9789,9179,610,0.4854,"Stevens County, Minnesota",0,79,79,0.0407
"G2701510","2015-2019","MN",,,"Minnesota","27","Swift County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27151",,"Swift County, Minnesota",9359,9109,250,0.4587,"Swift County, Minnesota",0,51,51,0.0210
"G2701530","2015-2019","MN",,,"Minnesota","27","Todd County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27153",,"Todd County, Minnesota",24494,23619,875,0.4060,"Todd County, Minnesota",0,124,124,0.0112
"G2701550","2015-2019","MN",,,"Minnesota","27","Traverse County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27155",,"Traverse County, Minnesota",3311,3247,64,0.4088,"Traverse County, Minnesota",0,23,23,0.0237
"G2701570","2015-2019","MN",,,"Minnesota","27","Wabasha County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27157",,"Wabasha County, Minnesota",21537,21123,414,0.4161,"Wabasha County, Minnesota",0,122,122,0.0169
"G2701590","2015-2019","MN",,,"Minnesota","27","Wadena County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27159",,"Wadena County, Minnesota",13654,13450,204,0.4118,"Wadena County, Minnesota",0,100,100,0.0146
"G2701610","2015-2019","MN",,,"Minnesota","27","Waseca County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27161",,"Waseca County, Minnesota",18740,18068,672,0.4386,"Waseca County, Minnesota",0,144,144,0.0231
"G2701630","2015-2019","MN",,,"Minnesota","27","Washington County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27163",,"Washington County, Minnesota",255938,238222,17716,0.4198,"Washington County, Minnesota",0,724,724,0.0074
"G2701650","2015-2019","MN",,,"Minnesota","27","Watonwan County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27165",,"Watonwan County, Minnesota",10972,9636,1336,0.4279,"Watonwan County, Minnesota",0,289,289,0.0179
"G2701670","2015-2019","MN",,,"Minnesota","27","Wilkin County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27167",,"Wilkin County, Minnesota",6291,6262,29,0.4312,"Wilkin County, Minnesota",0,19,19,0.0583
"G2701690","2015-2019","MN",,,"Minnesota","27","Winona County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27169",,"Winona County, Minnesota",50725,49056,1669,0.4341,"Winona County, Minnesota",0,238,238,0.0169
"G2701710","2015-2019","MN",,,"Minnesota","27","Wright County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27171",,"Wright County, Minnesota",134438,130668,3770,0.3881,"Wright County, Minnesota",0,556,556,0.0120
"G2701730","2015-2019","MN",,,"Minnesota","27","Yellow Medicine County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US27173",,"Yellow Medicine County, Minnesota",9814,9604,210,0.4057,"Yellow Medicine County, Minnesota",0,47,47,0.0184
"G2800010","2015-2019","MS",,,"Mississippi","28","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28001",,"Adams County, Mississippi",31266,28780,2486,0.5216,"Adams County, Mississippi",0,505,505,0.0227
"G2800030","2015-2019","MS",,,"Mississippi","28","Alcorn County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28003",,"Alcorn County, Mississippi",37090,36562,528,0.4654,"Alcorn County, Mississippi",0,151,151,0.0313
"G2800050","2015-2019","MS",,,"Mississippi","28","Amite County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28005",,"Amite County, Mississippi",12412,12359,53,0.5130,"Amite County, Mississippi",0,42,42,0.0295
"G2800070","2015-2019","MS",,,"Mississippi","28","Attala County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28007",,"Attala County, Mississippi",18437,18267,170,0.5098,"Attala County, Mississippi",0,64,64,0.0350
"G2800090","2015-2019","MS",,,"Mississippi","28","Benton County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28009",,"Benton County, Mississippi",8232,8107,125,0.4587,"Benton County, Mississippi",0,83,83,0.0402
"G2800110","2015-2019","MS",,,"Mississippi","28","Bolivar County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28011",,"Bolivar County, Mississippi",31848,31216,632,0.5283,"Bolivar County, Mississippi",0,139,139,0.0286
"G2800130","2015-2019","MS",,,"Mississippi","28","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28013",,"Calhoun County, Mississippi",14499,14034,465,0.4152,"Calhoun County, Mississippi",0,63,63,0.0189
"G2800150","2015-2019","MS",,,"Mississippi","28","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28015",,"Carroll County, Mississippi",10070,10067,3,0.4482,"Carroll County, Mississippi",0,5,5,0.0392
"G2800170","2015-2019","MS",,,"Mississippi","28","Chickasaw County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28017",,"Chickasaw County, Mississippi",17193,16850,343,0.4516,"Chickasaw County, Mississippi",0,195,195,0.0218
"G2800190","2015-2019","MS",,,"Mississippi","28","Choctaw County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28019",,"Choctaw County, Mississippi",8277,8265,12,0.4758,"Choctaw County, Mississippi",0,14,14,0.0405
"G2800210","2015-2019","MS",,,"Mississippi","28","Claiborne County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28021",,"Claiborne County, Mississippi",9089,9003,86,0.4696,"Claiborne County, Mississippi",0,67,67,0.0367
"G2800230","2015-2019","MS",,,"Mississippi","28","Clarke County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28023",,"Clarke County, Mississippi",15770,15710,60,0.4894,"Clarke County, Mississippi",0,47,47,0.0378
"G2800250","2015-2019","MS",,,"Mississippi","28","Clay County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28025",,"Clay County, Mississippi",19640,19539,101,0.5082,"Clay County, Mississippi",0,78,78,0.0418
"G2800270","2015-2019","MS",,,"Mississippi","28","Coahoma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28027",,"Coahoma County, Mississippi",23255,23150,105,0.5442,"Coahoma County, Mississippi",0,60,60,0.0379
"G2800290","2015-2019","MS",,,"Mississippi","28","Copiah County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28029",,"Copiah County, Mississippi",28501,28039,462,0.4540,"Copiah County, Mississippi",0,139,139,0.0263
"G2800310","2015-2019","MS",,,"Mississippi","28","Covington County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28031",,"Covington County, Mississippi",18978,18863,115,0.4543,"Covington County, Mississippi",0,112,112,0.0261
"G2800330","2015-2019","MS",,,"Mississippi","28","DeSoto County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28033",,"DeSoto County, Mississippi",178975,172420,6555,0.4054,"DeSoto County, Mississippi",0,464,464,0.0110
"G2800350","2015-2019","MS",,,"Mississippi","28","Forrest County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28035",,"Forrest County, Mississippi",75224,73318,1906,0.4955,"Forrest County, Mississippi",0,301,301,0.0207
"G2800370","2015-2019","MS",,,"Mississippi","28","Franklin County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28037",,"Franklin County, Mississippi",7733,7704,29,0.4748,"Franklin County, Mississippi",0,46,46,0.0291
"G2800390","2015-2019","MS",,,"Mississippi","28","George County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28039",,"George County, Mississippi",23917,23648,269,0.4574,"George County, Mississippi",0,167,167,0.0432
"G2800410","2015-2019","MS",,,"Mississippi","28","Greene County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28041",,"Greene County, Mississippi",13645,13402,243,0.4195,"Greene County, Mississippi",0,161,161,0.0387
"G2800430","2015-2019","MS",,,"Mississippi","28","Grenada County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28043",,"Grenada County, Mississippi",21088,21029,59,0.4692,"Grenada County, Mississippi",0,49,49,0.0235
"G2800450","2015-2019","MS",,,"Mississippi","28","Hancock County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28045",,"Hancock County, Mississippi",46961,46044,917,0.4526,"Hancock County, Mississippi",0,240,240,0.0244
"G2800470","2015-2019","MS",,,"Mississippi","28","Harrison County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28047",,"Harrison County, Mississippi",204502,195391,9111,0.4602,"Harrison County, Mississippi",0,932,932,0.0100
"G2800490","2015-2019","MS",,,"Mississippi","28","Hinds County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28049",,"Hinds County, Mississippi",238797,234824,3973,0.4692,"Hinds County, Mississippi",0,493,493,0.0085
"G2800510","2015-2019","MS",,,"Mississippi","28","Holmes County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28051",,"Holmes County, Mississippi",17737,17717,20,0.5747,"Holmes County, Mississippi",0,26,26,0.0363
"G2800530","2015-2019","MS",,,"Mississippi","28","Humphreys County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28053",,"Humphreys County, Mississippi",8389,8201,188,0.5413,"Humphreys County, Mississippi",0,70,70,0.0450
"G2800550","2015-2019","MS",,,"Mississippi","28","Issaquena County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28055",,"Issaquena County, Mississippi",1361,1361,0,0.5659,"Issaquena County, Mississippi",241,241,13,0.1126
"G2800570","2015-2019","MS",,,"Mississippi","28","Itawamba County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28057",,"Itawamba County, Mississippi",23462,23400,62,0.4215,"Itawamba County, Mississippi",0,57,57,0.0366
"G2800590","2015-2019","MS",,,"Mississippi","28","Jackson County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28059",,"Jackson County, Mississippi",142376,136976,5400,0.4623,"Jackson County, Mississippi",0,639,639,0.0141
"G2800610","2015-2019","MS",,,"Mississippi","28","Jasper County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28061",,"Jasper County, Mississippi",16505,16462,43,0.4861,"Jasper County, Mississippi",0,35,35,0.0257
"G2800630","2015-2019","MS",,,"Mississippi","28","Jefferson County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28063",,"Jefferson County, Mississippi",7225,7049,176,0.4939,"Jefferson County, Mississippi",0,122,122,0.0423
"G2800650","2015-2019","MS",,,"Mississippi","28","Jefferson Davis County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28065",,"Jefferson Davis County, Mississippi",11339,11268,71,0.5073,"Jefferson Davis County, Mississippi",0,49,49,0.0281
"G2800670","2015-2019","MS",,,"Mississippi","28","Jones County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28067",,"Jones County, Mississippi",68352,66640,1712,0.4806,"Jones County, Mississippi",0,253,253,0.0223
"G2800690","2015-2019","MS",,,"Mississippi","28","Kemper County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28069",,"Kemper County, Mississippi",9943,9936,7,0.4665,"Kemper County, Mississippi",0,14,14,0.0413
"G2800710","2015-2019","MS",,,"Mississippi","28","Lafayette County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28071",,"Lafayette County, Mississippi",53590,51606,1984,0.5212,"Lafayette County, Mississippi",0,428,428,0.0230
"G2800730","2015-2019","MS",,,"Mississippi","28","Lamar County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28073",,"Lamar County, Mississippi",61969,60208,1761,0.4635,"Lamar County, Mississippi",0,378,378,0.0219
"G2800750","2015-2019","MS",,,"Mississippi","28","Lauderdale County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28075",,"Lauderdale County, Mississippi",76279,74812,1467,0.5040,"Lauderdale County, Mississippi",0,347,347,0.0197
"G2800770","2015-2019","MS",,,"Mississippi","28","Lawrence County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28077",,"Lawrence County, Mississippi",12633,12548,85,0.4585,"Lawrence County, Mississippi",0,61,61,0.0240
"G2800790","2015-2019","MS",,,"Mississippi","28","Leake County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28079",,"Leake County, Mississippi",22792,22323,469,0.4923,"Leake County, Mississippi",0,124,124,0.0282
"G2800810","2015-2019","MS",,,"Mississippi","28","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28081",,"Lee County, Mississippi",85072,83311,1761,0.4674,"Lee County, Mississippi",0,414,414,0.0177
"G2800830","2015-2019","MS",,,"Mississippi","28","Leflore County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28083",,"Leflore County, Mississippi",29222,28646,576,0.5857,"Leflore County, Mississippi",0,114,114,0.0432
"G2800850","2015-2019","MS",,,"Mississippi","28","Lincoln County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28085",,"Lincoln County, Mississippi",34320,34139,181,0.4762,"Lincoln County, Mississippi",0,112,112,0.0221
"G2800870","2015-2019","MS",,,"Mississippi","28","Lowndes County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28087",,"Lowndes County, Mississippi",59150,57805,1345,0.4691,"Lowndes County, Mississippi",0,272,272,0.0190
"G2800890","2015-2019","MS",,,"Mississippi","28","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28089",,"Madison County, Mississippi",104562,99904,4658,0.4737,"Madison County, Mississippi",0,506,506,0.0153
"G2800910","2015-2019","MS",,,"Mississippi","28","Marion County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28091",,"Marion County, Mississippi",24990,24725,265,0.4924,"Marion County, Mississippi",0,108,108,0.0272
"G2800930","2015-2019","MS",,,"Mississippi","28","Marshall County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28093",,"Marshall County, Mississippi",35599,35045,554,0.4511,"Marshall County, Mississippi",0,255,255,0.0299
"G2800950","2015-2019","MS",,,"Mississippi","28","Monroe County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28095",,"Monroe County, Mississippi",35673,35381,292,0.4638,"Monroe County, Mississippi",0,108,108,0.0213
"G2800970","2015-2019","MS",,,"Mississippi","28","Montgomery County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28097",,"Montgomery County, Mississippi",10068,9984,84,0.5070,"Montgomery County, Mississippi",0,83,83,0.0708
"G2800990","2015-2019","MS",,,"Mississippi","28","Neshoba County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28099",,"Neshoba County, Mississippi",29332,28907,425,0.4670,"Neshoba County, Mississippi",0,163,163,0.0180
"G2801010","2015-2019","MS",,,"Mississippi","28","Newton County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28101",,"Newton County, Mississippi",21360,21101,259,0.4667,"Newton County, Mississippi",0,84,84,0.0235
"G2801030","2015-2019","MS",,,"Mississippi","28","Noxubee County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28103",,"Noxubee County, Mississippi",10700,10575,125,0.5001,"Noxubee County, Mississippi",0,84,84,0.0451
"G2801050","2015-2019","MS",,,"Mississippi","28","Oktibbeha County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28105",,"Oktibbeha County, Mississippi",49512,47483,2029,0.5373,"Oktibbeha County, Mississippi",0,404,404,0.0219
"G2801070","2015-2019","MS",,,"Mississippi","28","Panola County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28107",,"Panola County, Mississippi",34190,33727,463,0.4624,"Panola County, Mississippi",0,177,177,0.0308
"G2801090","2015-2019","MS",,,"Mississippi","28","Pearl River County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28109",,"Pearl River County, Mississippi",55219,54385,834,0.4381,"Pearl River County, Mississippi",0,196,196,0.0172
"G2801110","2015-2019","MS",,,"Mississippi","28","Perry County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28111",,"Perry County, Mississippi",12006,11894,112,0.4848,"Perry County, Mississippi",0,88,88,0.0511
"G2801130","2015-2019","MS",,,"Mississippi","28","Pike County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28113",,"Pike County, Mississippi",39532,39269,263,0.5209,"Pike County, Mississippi",0,160,160,0.0281
"G2801150","2015-2019","MS",,,"Mississippi","28","Pontotoc County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28115",,"Pontotoc County, Mississippi",31618,30541,1077,0.4259,"Pontotoc County, Mississippi",0,145,145,0.0203
"G2801170","2015-2019","MS",,,"Mississippi","28","Prentiss County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28117",,"Prentiss County, Mississippi",25255,24759,496,0.4654,"Prentiss County, Mississippi",0,337,337,0.0350
"G2801190","2015-2019","MS",,,"Mississippi","28","Quitman County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28119",,"Quitman County, Mississippi",7187,7156,31,0.4643,"Quitman County, Mississippi",0,27,27,0.0196
"G2801210","2015-2019","MS",,,"Mississippi","28","Rankin County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28121",,"Rankin County, Mississippi",152677,148303,4374,0.4082,"Rankin County, Mississippi",0,443,443,0.0122
"G2801230","2015-2019","MS",,,"Mississippi","28","Scott County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28123",,"Scott County, Mississippi",28332,26283,2049,0.5340,"Scott County, Mississippi",0,384,384,0.0449
"G2801250","2015-2019","MS",,,"Mississippi","28","Sharkey County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28125",,"Sharkey County, Mississippi",4404,4360,44,0.4998,"Sharkey County, Mississippi",241,247,51,0.0356
"G2801270","2015-2019","MS",,,"Mississippi","28","Simpson County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28127",,"Simpson County, Mississippi",26888,26603,285,0.4773,"Simpson County, Mississippi",0,197,197,0.0338
"G2801290","2015-2019","MS",,,"Mississippi","28","Smith County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28129",,"Smith County, Mississippi",16009,15857,152,0.4958,"Smith County, Mississippi",0,152,152,0.0512
"G2801310","2015-2019","MS",,,"Mississippi","28","Stone County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28131",,"Stone County, Mississippi",18276,18125,151,0.4771,"Stone County, Mississippi",0,91,91,0.0637
"G2801330","2015-2019","MS",,,"Mississippi","28","Sunflower County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28133",,"Sunflower County, Mississippi",26168,26006,162,0.5064,"Sunflower County, Mississippi",0,70,71,0.0235
"G2801350","2015-2019","MS",,,"Mississippi","28","Tallahatchie County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28135",,"Tallahatchie County, Mississippi",14158,13727,431,0.5244,"Tallahatchie County, Mississippi",0,202,202,0.0367
"G2801370","2015-2019","MS",,,"Mississippi","28","Tate County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28137",,"Tate County, Mississippi",28404,27933,471,0.4222,"Tate County, Mississippi",0,125,125,0.0214
"G2801390","2015-2019","MS",,,"Mississippi","28","Tippah County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28139",,"Tippah County, Mississippi",22018,21526,492,0.4395,"Tippah County, Mississippi",0,70,70,0.0263
"G2801410","2015-2019","MS",,,"Mississippi","28","Tishomingo County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28141",,"Tishomingo County, Mississippi",19441,19357,84,0.4430,"Tishomingo County, Mississippi",0,81,81,0.0217
"G2801430","2015-2019","MS",,,"Mississippi","28","Tunica County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28143",,"Tunica County, Mississippi",9988,9718,270,0.5046,"Tunica County, Mississippi",0,193,193,0.0950
"G2801450","2015-2019","MS",,,"Mississippi","28","Union County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28145",,"Union County, Mississippi",28507,27779,728,0.4218,"Union County, Mississippi",0,140,140,0.0220
"G2801470","2015-2019","MS",,,"Mississippi","28","Walthall County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28147",,"Walthall County, Mississippi",14477,14427,50,0.5542,"Walthall County, Mississippi",0,49,49,0.0622
"G2801490","2015-2019","MS",,,"Mississippi","28","Warren County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28149",,"Warren County, Mississippi",46519,45629,890,0.4855,"Warren County, Mississippi",0,261,261,0.0249
"G2801510","2015-2019","MS",,,"Mississippi","28","Washington County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28151",,"Washington County, Mississippi",46057,45559,498,0.5365,"Washington County, Mississippi",0,174,174,0.0272
"G2801530","2015-2019","MS",,,"Mississippi","28","Wayne County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28153",,"Wayne County, Mississippi",20373,20213,160,0.5072,"Wayne County, Mississippi",0,118,118,0.0348
"G2801550","2015-2019","MS",,,"Mississippi","28","Webster County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28155",,"Webster County, Mississippi",9768,9737,31,0.4255,"Webster County, Mississippi",0,33,33,0.0290
"G2801570","2015-2019","MS",,,"Mississippi","28","Wilkinson County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28157",,"Wilkinson County, Mississippi",8875,8875,0,0.4907,"Wilkinson County, Mississippi",0,18,18,0.0471
"G2801590","2015-2019","MS",,,"Mississippi","28","Winston County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28159",,"Winston County, Mississippi",18229,18173,56,0.5275,"Winston County, Mississippi",0,72,72,0.0625
"G2801610","2015-2019","MS",,,"Mississippi","28","Yalobusha County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28161",,"Yalobusha County, Mississippi",12367,12310,57,0.4020,"Yalobusha County, Mississippi",0,40,40,0.0276
"G2801630","2015-2019","MS",,,"Mississippi","28","Yazoo County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US28163",,"Yazoo County, Mississippi",28565,27614,951,0.5346,"Yazoo County, Mississippi",0,771,771,0.0488
"G2900010","2015-2019","MO",,,"Missouri","29","Adair County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29001",,"Adair County, Missouri",25369,24336,1033,0.5137,"Adair County, Missouri",0,230,230,0.0313
"G2900030","2015-2019","MO",,,"Missouri","29","Andrew County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29003",,"Andrew County, Missouri",17503,17287,216,0.4115,"Andrew County, Missouri",0,80,80,0.0243
"G2900050","2015-2019","MO",,,"Missouri","29","Atchison County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29005",,"Atchison County, Missouri",5229,5182,47,0.4395,"Atchison County, Missouri",0,17,17,0.0293
"G2900070","2015-2019","MO",,,"Missouri","29","Audrain County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29007",,"Audrain County, Missouri",25644,25220,424,0.4513,"Audrain County, Missouri",0,145,145,0.0364
"G2900090","2015-2019","MO",,,"Missouri","29","Barry County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29009",,"Barry County, Missouri",35530,33689,1841,0.4814,"Barry County, Missouri",0,208,208,0.0443
"G2900110","2015-2019","MO",,,"Missouri","29","Barton County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29011",,"Barton County, Missouri",11797,11713,84,0.4761,"Barton County, Missouri",0,55,55,0.0321
"G2900130","2015-2019","MO",,,"Missouri","29","Bates County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29013",,"Bates County, Missouri",16296,16101,195,0.4564,"Bates County, Missouri",0,74,74,0.0546
"G2900150","2015-2019","MO",,,"Missouri","29","Benton County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29015",,"Benton County, Missouri",19107,18918,189,0.4669,"Benton County, Missouri",0,114,114,0.0385
"G2900170","2015-2019","MO",,,"Missouri","29","Bollinger County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29017",,"Bollinger County, Missouri",12225,12154,71,0.4082,"Bollinger County, Missouri",0,40,40,0.0312
"G2900190","2015-2019","MO",,,"Missouri","29","Boone County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US29019",,"Boone County, Missouri",177651,165343,12308,0.4650,"Boone County, Missouri",0,967,967,0.0107
